,work_year,job_title,salary_in_usd
0,2020,Machine Learning Engineer,150000
1,2020,Data Analyst,72000
2,2020,Data Scientist,40481
3,2020,Data Analyst,85000
4,2020,Machine Learning Engineer,250000
5,2020,Machine Learning Engineer,138000
6,2020,Data Engineer,106000
7,2020,Data Engineer,112872
8,2020,Data Scientist,76958
9,2020,Data Engineer,188000
10,2020,Data Scientist,105000
11,2020,Data Analyst,6072
12,2020,Data Analyst,91000
13,2020,Data Scientist,118000
14,2020,Data Scientist,120000
15,2020,Data Scientist,138350
16,2020,Data Engineer,110000
17,2020,Data Scientist,105000
18,2021,Data Analyst,80000
19,2021,Data Engineer,140000
20,2021,Data Scientist,29751
21,2021,Data Analyst,75000
22,2021,Data Engineer,150000
23,2021,Data Analyst,62000
24,2021,Data Scientist,73000
25,2021,Data Analyst,51519
26,2021,Data Engineer,115000
27,2021,Data Engineer,150000
28,2021,Data Engineer,30428
29,2021,Data Analyst,90000
30,2021,Data Engineer,200000
31,2021,Data Analyst,50000
32,2021,Data Scientist,9466
33,2021,Machine Learning Engineer,20000
34,2021,Data Scientist,100000
35,2021,Data Analyst,90000
36,2021,Data Scientist,80000
37,2021,Data Analyst,135000
38,2021,Data Scientist,82500
39,2021,Data Engineer,100000
40,2021,Data Engineer,90000
41,2021,Data Scientist,150000
42,2021,Data Scientist,75774
43,2021,Machine Learning Engineer,125000
44,2021,Data Engineer,80000
45,2021,Data Engineer,82528
46,2021,Data Analyst,60000
47,2021,Machine Learning Engineer,81000
48,2021,Data Scientist,5679
49,2021,Data Scientist,147000
50,2021,Machine Learning Engineer,24342
51,2021,Data Scientist,160000
52,2021,Machine Learning Engineer,200000
53,2021,Data Engineer,165000
54,2021,Data Scientist,116914
55,2021,Data Scientist,33808
56,2021,Data Scientist,56256
57,2021,Data Scientist,87738
58,2021,Data Scientist,135000
59,2021,Data Analyst,71786
60,2021,Data Analyst,200000
61,2021,Data Engineer,21637
62,2021,Data Scientist,103691
63,2021,Data Analyst,80000
64,2021,Data Engineer,110000
65,2021,Data Scientist,165000
66,2021,Data Engineer,72212
67,2021,Data Engineer,96282
68,2021,Data Scientist,115000
69,2021,Data Scientist,90000
70,2021,Data Scientist,28399
71,2021,Data Analyst,93000
72,2021,Data Engineer,200000
73,2021,Machine Learning Engineer,185000
74,2021,Data Scientist,130000
75,2021,Data Scientist,16904
76,2021,Machine Learning Engineer,66265
77,2021,Data Engineer,93150
78,2021,Data Engineer,111775
79,2021,Data Engineer,72500
80,2021,Data Scientist,100000
81,2021,Data Scientist,58000
82,2021,Data Engineer,112000
83,2021,Data Scientist,109000
84,2022,Data Engineer,135000
85,2022,Data Analyst,155000
86,2022,Data Analyst,120600
87,2022,Data Scientist,130000
88,2022,Data Scientist,90000
89,2022,Data Engineer,170000
90,2022,Data Engineer,150000
91,2022,Data Analyst,102100
92,2022,Data Analyst,84900
93,2022,Data Scientist,136620
94,2022,Data Scientist,99360
95,2022,Data Scientist,117789
96,2022,Data Scientist,104702
97,2022,Data Scientist,146000
98,2022,Data Scientist,123000
99,2022,Data Engineer,52351
100,2022,Data Analyst,99000
101,2022,Data Analyst,116000
102,2022,Data Analyst,106260
103,2022,Data Analyst,126500
104,2022,Data Engineer,242000
105,2022,Data Engineer,200000
106,2022,Data Scientist,65438
107,2022,Data Scientist,39263
108,2022,Data Engineer,78526
109,2022,Data Engineer,52351
110,2022,Data Scientist,165220
111,2022,Data Engineer,45807
112,2022,Data Scientist,120160
113,2022,Data Analyst,90320
114,2022,Data Engineer,181940
115,2022,Data Engineer,132320
116,2022,Data Engineer,220110
117,2022,Data Engineer,160080
118,2022,Data Scientist,180000
119,2022,Data Scientist,120000
120,2022,Data Analyst,124190
121,2022,Data Analyst,130000
122,2022,Data Analyst,110000
123,2022,Data Analyst,170000
124,2022,Data Analyst,115500
125,2022,Data Analyst,112900
126,2022,Data Analyst,90320
127,2022,Data Analyst,112900
128,2022,Data Analyst,90320
129,2022,Data Engineer,165400
130,2022,Data Engineer,132320
131,2022,Data Analyst,167000
132,2022,Data Engineer,243900
133,2022,Data Analyst,136600
134,2022,Data Analyst,109280
135,2022,Data Engineer,128875
136,2022,Data Engineer,93700
137,2022,Data Engineer,156600
138,2022,Data Engineer,108800
139,2022,Data Scientist,95550
140,2022,Data Engineer,113000
141,2022,Data Analyst,135000
142,2022,Data Scientist,167000
143,2022,Data Scientist,123000
144,2022,Data Engineer,78526
145,2022,Data Engineer,65438
146,2022,Data Scientist,150000
147,2022,Data Scientist,211500
148,2022,Data Analyst,130000
149,2022,Data Analyst,61300
150,2022,Data Analyst,130000
151,2022,Data Analyst,61300
152,2022,Data Engineer,160000
153,2022,Data Scientist,138600
154,2022,Data Engineer,136000
155,2022,Data Analyst,58000
156,2022,Data Scientist,170000
157,2022,Data Scientist,123000
158,2022,Machine Learning Engineer,189650
159,2022,Machine Learning Engineer,164996
160,2022,Data Analyst,132000
161,2022,Data Engineer,165400
162,2022,Data Engineer,136994
163,2022,Data Engineer,101570
164,2022,Data Analyst,128875
165,2022,Data Analyst,93700
166,2022,Data Engineer,132320
167,2022,Machine Learning Engineer,37300
168,2022,Data Analyst,164000
169,2022,Data Engineer,155000
170,2022,Machine Learning Engineer,124333
171,2022,Machine Learning Engineer,98158
172,2022,Data Analyst,112900
173,2022,Data Analyst,90320
174,2022,Data Engineer,117789
175,2022,Data Scientist,215300
176,2022,Data Scientist,158200
177,2022,Data Engineer,209100
178,2022,Data Engineer,154600
179,2022,Data Analyst,115934
180,2022,Data Analyst,81666
181,2022,Data Engineer,175000
182,2022,Data Engineer,98158
183,2022,Data Analyst,58000
184,2022,Data Engineer,183600
185,2022,Data Analyst,52351
186,2022,Data Scientist,180000
187,2022,Data Scientist,71982
188,2022,Data Scientist,45807
189,2022,Data Engineer,78526
190,2022,Data Engineer,58894
191,2022,Data Scientist,260000
192,2022,Data Engineer,63900
193,2022,Data Scientist,180000
194,2022,Data Scientist,80000
195,2022,Data Engineer,82900
196,2022,Data Engineer,100800
197,2022,Data Scientist,140400
198,2022,Data Analyst,39263
199,2022,Data Engineer,104702
200,2022,Data Engineer,91614
201,2022,Machine Learning Engineer,189650
202,2022,Machine Learning Engineer,164996
203,2022,Data Engineer,98158
204,2022,Data Engineer,78526
205,2022,Data Scientist,215300
206,2022,Data Engineer,209100
207,2022,Data Engineer,154600
208,2022,Data Engineer,180000
209,2022,Data Engineer,80000
210,2022,Machine Learning Engineer,120000
211,2022,Data Engineer,105000
212,2022,Data Scientist,31615
213,2022,Data Scientist,18442
214,2022,Data Engineer,120000
215,2022,Data Scientist,104890
216,2022,Data Engineer,100000
217,2022,Data Scientist,140000
218,2022,Data Analyst,135000
219,2022,Data Analyst,50000
220,2022,Data Scientist,220000
221,2022,Data Scientist,140000
222,2022,Data Scientist,183228
223,2022,Data Scientist,91614
224,2022,Data Scientist,185100
225,2022,Machine Learning Engineer,220000
226,2022,Data Scientist,200000
227,2022,Data Scientist,120000
228,2022,Data Engineer,216000
229,2022,Data Engineer,210000
230,2022,Machine Learning Engineer,120000
231,2022,Data Scientist,230000
232,2022,Data Scientist,100000
233,2022,Data Scientist,165000
234,2022,Data Scientist,52396
235,2022,Data Engineer,115000
236,2022,Data Engineer,65000
237,2022,Data Scientist,69336
238,2022,Data Scientist,135000
239,2022,Data Scientist,78000
240,2022,Data Analyst,135000
241,2022,Data Analyst,100000
242,2022,Data Analyst,90320
243,2022,Data Analyst,85000
244,2022,Data Analyst,75000
245,2022,Machine Learning Engineer,214000
246,2022,Machine Learning Engineer,192600
247,2022,Data Analyst,112900
248,2022,Data Engineer,155000
249,2022,Data Scientist,141300
250,2022,Data Scientist,102100
251,2022,Data Analyst,115934
252,2022,Data Analyst,81666
253,2022,Data Engineer,206699
254,2022,Data Engineer,99100
255,2022,Data Engineer,130000
256,2022,Data Engineer,115000
257,2022,Data Engineer,110500
258,2022,Data Engineer,130000
259,2022,Data Analyst,99050
260,2022,Data Engineer,160000
261,2022,Data Scientist,205300
262,2022,Data Scientist,140400
263,2022,Data Scientist,176000
264,2022,Data Scientist,144000
265,2022,Data Engineer,200100
266,2022,Data Engineer,160000
267,2022,Data Engineer,145000
268,2022,Data Engineer,70500
269,2022,Data Scientist,205300
270,2022,Data Scientist,140400
271,2022,Data Engineer,175100
272,2022,Data Engineer,140250
273,2022,Data Analyst,116150
274,2022,Data Engineer,54000
275,2022,Data Analyst,170000
276,2022,Data Analyst,65438
277,2022,Data Analyst,80000
278,2022,Data Scientist,140000
279,2022,Data Scientist,210000
280,2022,Data Scientist,140000
281,2022,Data Analyst,100000
282,2022,Data Analyst,69000
283,2022,Data Scientist,210000
284,2022,Data Scientist,140000
285,2022,Data Scientist,210000
286,2022,Data Analyst,150075
287,2022,Data Engineer,100000
288,2022,Data Engineer,25000
289,2022,Data Analyst,126500
290,2022,Data Analyst,106260
291,2022,Data Engineer,220110
292,2022,Data Engineer,160080
293,2022,Data Analyst,105000
294,2022,Data Analyst,110925
295,2022,Data Analyst,45807
296,2022,Data Scientist,140000
297,2022,Data Analyst,99000
298,2022,Data Analyst,60000
299,2022,Data Scientist,230000
300,2022,Data Scientist,150000
301,2022,Data Scientist,210000
302,2022,Data Analyst,170000
303,2022,Data Scientist,160000
304,2022,Data Scientist,130000
305,2022,Data Analyst,67000
306,2022,Data Analyst,52000
307,2022,Data Engineer,154000
308,2022,Data Engineer,126000
309,2022,Data Analyst,129000
310,2022,Data Analyst,150000
